"","Date","Dilution.percent","n","SS","Velocity","velocity.slope","Velocity.intercept","SV30.intercept","SV30.slope","SV30","DSVI","Concentration","NewVelocity"
"1",2022-10-17,100,1,3.86,1.57857142857143,-1.57857142857143,356.576190476191,217.33708437416,-0.037936949577898,149.050575133943,38.6141386357366,3.86,5.68285714285715
"2",2022-10-24,100,1,3.84,1.39285714285715,-1.39285714285715,363.107142857143,254.490532713343,-0.0923746804496149,112,29.1666666666667,3.84,5.01428571428574
"3",2022-10-31,100,1,4.02,2.11038961038961,-2.11038961038961,416.556277056277,286.96873992101,-0.110455121029559,112,27.8606965174129,4.02,7.5974025974026
"4",2022-11-09,100,1,4.09,1.60389610389611,-1.60389610389611,385.941558441559,286.96873992101,-0.110455121029559,155,37.8973105134474,4.09,5.774025974026
"5",2022-11-17,100,1,4.71,1.37381030521825,-1.37381030521825,374.929438792255,359.699647578763,-0.094767153465465,189.118771340926,40.1526053802392,4.71,4.9457170987857
"6",2022-11-17,100,1,4.71,1.37381030521825,-1.37381030521825,374.929438792255,359.699647578763,-0.094767153465465,189.118771340926,40.1526053802392,4.71,4.9457170987857
"7",2022-11-22,100,1,4.94,1.15714285714286,-1.15714285714286,359.242857142858,448.716487091997,-0.17026448647191,142.240411442559,28.7936055551738,4.94,4.1657142857143
"8",2022-12-01,100,1,4.77,1.04464285714286,-1.04464285714286,352.080357142858,417.838679962881,-0.12606524515754,190.921238679309,40.0254169139013,4.77,3.7607142857143
"9",2022-12-05,100,1,4.72,0.945847829375287,-0.945847829375287,358.395250340342,436.424247500505,-0.109799188760465,238.785707731669,50.5901923160316,4.72,3.40505218575103
"10",2022-12-12,100,1,4.54,1.16965506151001,-1.16965506151001,376.490793599743,477.541125777152,-0.178884612860601,155.548822628069,34.2618552044205,4.54,4.21075822143604
"11",2023-01-11,100,1,3.53,0.928571428571431,-0.928571428571431,382.142857142858,456.293843779782,-0.126451835567417,228.680539758431,64.7820225944563,3.53,3.34285714285715
"12",2023-01-19,100,1,4.46,0.701044386422979,-0.701044386422979,359.070496083551,527.138838236168,-0.149512934059136,258.015556929723,57.8510217331218,4.46,2.52375979112272
"13",2023-01-23,100,1,4.95,0.805851723282918,-0.805851723282918,379.380857922143,562.720846415251,-0.156414157611926,281.175362713784,56.8031035785423,4.95,2.9010662038185
"14",2023-02-03,100,1,4.74,0.943864229765016,-0.943864229765016,423.473890339426,556.322212241925,-0.157685411411869,272.48847170056,57.4870193461096,4.74,3.39791122715406
"15",2023-02-08,100,1,4.76,0.55714285714286,-0.55714285714286,412.661904761906,753.99103225552,-0.237041701281251,327.315969949267,68.7638592330394,4.76,2.0057142857143
"16",2023-02-15,100,1,4.6,0.593994778067888,-0.593994778067888,390.330287206267,626.40098857361,-0.138651551739347,376.828195442786,81.9191729223447,4.6,2.1383812010444
"17",2023-02-23,100,1,3.67,0.945847829375286,-0.945847829375286,423.658750567237,528.427362564976,-0.114376160455488,322.550273745098,87.8883579686915,3.67,3.40505218575103
"18",2023-02-23,80,1.25,3.67,1.22068920421108,-1.22068920421108,392.019486039365,395.468129350474,-0.0760781374915299,258.52748186572,88.0543194365532,2.936,4.39448113515989
"19",2023-03-02,100,1,4.02,0.504081632653063,-0.504081632653063,402.544897959184,706.95856500631,-0.174800806574143,392.317113172853,97.5913216847894,4.02,1.81469387755103
"20",2023-03-02,80,1.25,4.02,1.23259943181819,-1.23259943181819,431.420454545455,489.138177876221,-0.108845375936739,293.216501190091,91.1742851959238,3.216,4.43735795454548
"21",2023-03-08,100,1,3.82,0.80809399477807,-0.80809399477807,380.109660574413,534.750580900915,-0.123432395136994,312.572269654326,81.82520148019,3.82,2.90913838120105
"22",2023-03-08,80,1.25,3.82,1.07963446475196,-1.07963446475196,387.125326370758,399.495701753088,-0.0906044103994459,236.407763034085,77.3585612022531,3.056,3.88668407310706
"23",2023-03-15,100,1,4.56,0.348772625836848,-0.348772625836848,429.40684354079,882.976042652082,-0.214204018082056,497.408810104381,109.080879408856,4.56,1.25558145301265
"24",2023-03-15,80,1.25,4.56,1.18395142763374,-1.18395142763374,427.04250082048,523.910654945131,-0.136607130288918,278.017820425079,76.2110253358221,3.648,4.26222513948146
"25",2023-03-22,100,1,4.63,0.137684145114118,-0.137684145114118,346.63412113557,902.634589650365,-0.200327444062771,542.045190337377,117.072395321248,4.63,0.495662922410825
"26",2023-03-22,50,2,4.56,1.2218045112782,-1.2218045112782,403.45112781955,380.215176854626,-0.122178369079767,160.294112511045,70.3044353118618,2.28,4.39849624060152
"27",2023-03-27,50,2,4.49,1.72511848341233,-1.72511848341233,464.423380726699,367.951346522421,-0.0921684555501619,202.04812653213,89.9991654931537,2.245,6.21042654028439
